url;price_chf;rooms;area_m2;zip_code
https://www.homegate.ch/louer/4002695499;1930;2.5;64;1007
https://www.homegate.ch/louer/4002692453;1830;2.5;60;1007
https://www.homegate.ch/louer/4002616444;1705;2.5;68;1007
https://www.homegate.ch/louer/4002672945;3650;3.5;107;1007
https://www.homegate.ch/louer/4002686142;2910;3.5;61;1007
https://www.homegate.ch/louer/4002727258;1900;2.5;46;1007
https://www.homegate.ch/louer/4002727046;2100;1;17;1007
https://www.homegate.ch/louer/4002747413;1745;2.5;60;1007
https://www.homegate.ch/louer/4002732971;1965;3;74;1007
https://www.homegate.ch/louer/4002712984;1520;1.5;46;1007
https://www.homegate.ch/louer/4002712146;2290;3.5;68;1007
https://www.homegate.ch/louer/4002673376;1715;2;66;1007
https://www.homegate.ch/louer/4002614481;1830;2.5;61;1007
https://www.homegate.ch/louer/4002472301;2550;1;N/A;1007
https://www.homegate.ch/louer/4002434089;1990;3.5;63;1007
