url;price_chf;rooms;area_m2;zip_code
https://www.homegate.ch/acheter/4002636795;2900000;9;210;1007
https://www.homegate.ch/acheter/4002719263;1400000;5.5;131;1007
https://www.homegate.ch/acheter/4002192612;2190000;3.5;125;1007
https://www.homegate.ch/acheter/4002192596;5430000;7;255;1007
https://www.homegate.ch/acheter/4002573435;2160000;6.5;164;1007
https://www.homegate.ch/acheter/4002551854;N/A;21;1500;1007
https://www.homegate.ch/acheter/4002192598;2950000;5.5;157;1007
https://www.homegate.ch/acheter/4002192597;2400000;5.5;150;1007
https://www.homegate.ch/acheter/4002718400;1950000;4.5;128;1007
https://www.homegate.ch/acheter/4002625955;3500000;4.5;180;1007
https://www.homegate.ch/acheter/4002605706;3500000;4.5;N/A;1007
https://www.homegate.ch/acheter/4002544384;1290000;2.5;102;1007
https://www.homegate.ch/acheter/4002588463;2900000;9;N/A;1007
https://www.homegate.ch/acheter/4002708823;3700000;15;280;1007
https://www.homegate.ch/acheter/4002391701;835000;3;56;1007
https://www.homegate.ch/acheter/4002527162;2190000;3.5;125;1007
https://www.homegate.ch/acheter/4002490608;2795000;10;240;1007
https://www.homegate.ch/acheter/4002402542;4900000;4.5;250;1007
