zip,locality,canton
3063,"Bern,Bolligen,Ittigen,Münchenbuchsee,Ostermundigen,Zollikofen",BE
3065,"Bolligen,Ittigen,Krauchthal,Mattstetten,Moosseedorf,Ostermundigen,Stettlen,Urtenen-Schönbühl",BE
3066,"Bolligen,Krauchthal,Muri bei Bern,Ostermundigen,Stettlen,Vechigen",BE
3067,"Bolligen,Krauchthal,Stettlen,Vechigen,Worb",BE
3068,"Hasle bei Burgdorf,Krauchthal,Oberburg,Vechigen,Walkringen,Worb",BE
3072,"Bern,Bolligen,Ittigen,Muri bei Bern,Ostermundigen",BE
3073,"Allmendingen,Bern,Muri bei Bern,Ostermundigen,Stettlen,Vechigen,Worb",BE
3074,"Allmendingen,Belp,Bern,Kehrsatz,Köniz,Muri bei Bern",BE
3075,"Allmendingen,Muri bei Bern,Rubigen,Vechigen,Worb",BE
3076,"Münsingen,Muri bei Bern,Rubigen,Stettlen,Vechigen,Walkringen,Worb",BE
3077,"Biglen,Walkringen,Worb",BE
3078,"Grosshöchstetten,Münsingen,Worb",BE
3082,"Biglen,Grosshöchstetten,Konolfingen,Münsingen,Worb",BE
3083,"Konolfingen,Münsingen,Rubigen,Worb",BE
3084,"Bern,Kehrsatz,Köniz",BE
3086,"Belp,Kehrsatz,Köniz,Niedermuhlern,Oberbalm,Toffen,Wald (BE)",BE
3087,"Niedermuhlern,Oberbalm,Rüeggisberg,Toffen,Wald (BE)",BE
3088,"Kaufdorf,Niedermuhlern,Oberbalm,Riggisberg,Rüeggisberg,Schwarzenburg,Toffen",BE
3089,"Rüeggisberg,Schwarzenburg",BE
3095,Köniz,BE
3096,"Köniz,Niedermuhlern,Oberbalm,Rüeggisberg,Schwarzenburg,Wald (BE)",BE
3097,"Bern,Köniz",BE
3098,"Bern,Kehrsatz,Köniz,Wald (BE)",BE
3099,"Blumenstein,Burgistein,Därstetten,Riggisberg,Rüeggisberg,Rüschegg,Wattenwil",BE
3110,"Belp,Gerzensee,Konolfingen,Münsingen,Rubigen,Wichtrach",BE
3111,"Häutligen,Konolfingen,Münsingen,Wichtrach",BE
3112,"Allmendingen,Belp,Muri bei Bern,Rubigen,Worb",BE
3113,"Allmendingen,Belp,Münsingen,Rubigen,Worb",BE
3114,"Gerzensee,Häutligen,Herbligen,Jaberg,Kiesen,Kirchdorf (BE),Münsingen,Oberdiessbach,Oppligen,Wichtrach",BE
3115,"Belp,Gerzensee,Kirchdorf (BE),Wichtrach",BE
3116,"Burgistein,Gerzensee,Jaberg,Kirchdorf (BE),Seftigen,Thurnen,Uetendorf,Uttigen",BE
3122,"Belp,Kehrsatz,Köniz,Muri bei Bern,Wald (BE)",BE
3123,"Belp,Gerzensee,Kehrsatz,Muri bei Bern,Rubigen,Toffen,Wald (BE)",BE
3124,"Belp,Gerzensee,Kirchdorf (BE)",BE
3125,"Belp,Kaufdorf,Kirchdorf (BE),Niedermuhlern,Rüeggisberg,Toffen,Wald (BE)",BE
3126,"Belp,Gerzensee,Kaufdorf,Kirchdorf (BE),Riggisberg,Rüeggisberg,Thurnen,Toffen",BE
3127,"Burgistein,Kirchdorf (BE),Riggisberg,Thurnen",BE
3128,"Kaufdorf,Kirchdorf (BE),Riggisberg,Thurnen",BE
